PP,,PP-PAR,,PP-FORO,,UPN-PP,,PSOE,,PSC,,PSOE-Nca,,PODEMOS,,PODEMOS-COMPROMÍS,,PODEMOS-En Marea-ANOVA-EU,,EN COMÚ,,C's,,ERC-CATSÍ,,DL,,EAJ-PNV,,UP-UPeC,,EH Bildu,,CCa-PNC,,PACMA,asdf,UPYD,asdf,NÓS,asdf,unio.cat,asdf,VOX,asdf,RECORTES CERO-GRUPO VERDE,asdf,MÉS,asdf,GBAI,asdf,PCPE,asdf,EL PI,asdf,CCD,asdf,EB,asdf,FE de las JONS,asdf,PCPC,asdf,SOMVAL,asdf,X IZDA,asdf,PUM+J,asdf,SAIn,asdf,CENTRO MODERADO,asdf,PT,asdf,CANARIAS DECIDE,asdf,P-LIB,asdf,PH,asdf,ARAPV,asdf,EU-eX,asdf,PCOE,asdf,IFem,asdf,EB - AZ,asdf,EZKERRA,asdf,DN,asdf,EN POSITIU,asdf,CILUS,asdf,PREPAL,asdf,CRA,asdf,Ln,asdf,AVANT,asdf,mlgXSÍ,asdf,PLD,asdf,PFyV,asdf,AJU,asdf,Independientes-FIA,asdf,FDEE,asdf,SOLUCIONA,asdf,"JS,PC",asdf,DN,asdf,+MAS+,asdf,OE,asdf
87924,2,,,,,,,84758,2,,,,,34730,,,,,,,,28406,,,,,,,,7252,,,,,,1363,asdf,1074,asdf,,asdf,,asdf,518,asdf,338,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1070,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
179319,3,,,,,,,180895,3,,,,,130734,2,,,,,,,94962,1,,,,,,,38881,,,,,,7591,asdf,3637,asdf,,asdf,,asdf,1493,asdf,1042,asdf,,asdf,,asdf,780,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,422,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
98474,2,,,,,,,66590,1,,,,,,,74732,1,,,,,48328,1,,,,,,,9605,,,,,,2252,asdf,1743,asdf,,asdf,,asdf,921,asdf,489,asdf,,asdf,,asdf,509,asdf,,asdf,2137,asdf,,asdf,,asdf,,asdf,467,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,413,asdf,,asdf,,asdf,261,asdf,,asdf,,asdf,471,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
113451,3,,,,,,,91959,2,,,,,36879,,,,,,,,36477,,,,,,,,9834,,,,,,1949,asdf,1625,asdf,,asdf,,asdf,560,asdf,386,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,174,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
142101,2,,,,,,,149851,2,,,,,68740,1,,,,,,,55812,1,,,,,,,37650,,,,,,3529,asdf,2069,asdf,,asdf,,asdf,,asdf,605,asdf,,asdf,,asdf,876,asdf,,asdf,,asdf,631,asdf,494,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,813,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
239303,3,,,,,,,137734,2,,,,,,,,,177581,2,,,66784,1,,,,,,,,,,,,,5169,asdf,3531,asdf,30618,asdf,,asdf,1246,asdf,1548,asdf,,asdf,,asdf,1447,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,429,asdf,,asdf,1119,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
50736,2,,,,,,,37019,1,,,,,14113,,,,,,,,13049,,,,,,,,3628,,,,,,537,asdf,464,asdf,,asdf,,asdf,356,asdf,165,asdf,,asdf,,asdf,97,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
28410,,,,,,,,,,42096,1,,,,,,,,,54071,1,32762,,78030,2,83170,2,,,,,,,,,3623,asdf,586,asdf,,asdf,5871,asdf,,asdf,889,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,602,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
158693,3,,,,,,,158027,2,,,,,83650,1,,,,,,,70845,1,,,,,,,26022,,,,,,3843,asdf,2697,asdf,,asdf,,asdf,1245,asdf,638,asdf,,asdf,,asdf,696,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,445,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
47365,1,,,,,,,30685,1,,,,,23827,,,,,,,,24603,1,,,,,,,5628,,,,,,1152,asdf,1026,asdf,,asdf,,asdf,645,asdf,283,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,75,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
33884,,,,,,,,51764,1,,,,,98533,2,,,,,,,14608,,,,,,91359,2,10722,,81257,1,,,2276,asdf,1313,asdf,,asdf,,asdf,,asdf,782,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,368,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
