,,,,,,,,,,,,,,,,PP,,PSOE,,IU-LV,,UPyD,,CiU,,AMAIUR,,EAJ-PNV,,ESQUERRA,,EQUO,,BNG,,CC-NC-PNC,,COMPROMÍS-Q,,PACMA,,FAC,,Eb,,PA,,PxC,,P.R.C.,,GBAI,,PUM+J,,P.C.P.E.,,ANTICAPITALISTAS,,PIRATA.CAT,,UCE,,PH,,ESPAÑA 2000,,SAIn,,RPS,,HARTOS.ORG,,PIRATA,,ANC,,FE de las JONS,,C.D.L.,,PCAS,,UxV,,P-LIB,,PREPAL,,POSI,,D.N.,,PRAO,,Caballas,,C.XXI,,UNIDAD DEL PUEBLO,,CEx,,ANDECHA,,CCD,,ACIMA,,PFyV,,+MAS+,,U.C.I.T.,,DeC,,CYD,,U.R.C.L.,,P.R.D.E.,,INTERNET,,PRE-R,,BASTA YA,,PDYC,,LV-GV,,H.D.,,SXT,,DNE,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Aragón                        ,44,Teruel                                            ,"145,277",323,"108,470","3,831","112,301",445,"78,628",301,"78,929","77,229","75,535","1,694","1,700","39,993",2,"25,426",1,"6,103",0,"2,656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,466,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0
Aragón                        ,50,Zaragoza                                          ,"973,252","1,522","714,352","16,144","730,496","2,164","520,037","1,418","521,455","513,893","503,942","9,951","7,562","241,074",4,"158,167",2,"58,904",1,"32,968",0,0,0,0,0,0,0,0,0,"3,858",0,0,0,0,0,0,0,"2,586",0,0,0,"2,640",0,0,0,0,0,0,0,0,0,939,0,"1,055",0,0,0,0,0,370,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,"1,084,341","1,613","901,115","87,930","989,045","8,981","633,723","4,906","638,629","632,436","624,044","8,392","6,193","223,906",3,"185,526",3,"83,755",1,"24,721",0,0,0,0,0,0,0,0,0,"4,033",0,0,0,0,0,0,0,"2,125",0,"92,828",1,"2,532",0,0,0,0,0,0,0,0,0,383,0,"1,202",0,0,0,0,0,209,0,284,0,0,0,282,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0
Illes Balears                 ,7,Illes Balears                                     ,"1,106,049","1,142","715,165","15,575","730,740","1,120","444,863",625,"445,488","438,272","430,331","7,941","7,216","217,327",5,"126,512",3,"21,668",0,"18,525",0,0,0,0,0,0,0,"4,681",0,"31,417",0,0,0,0,0,0,0,"3,641",0,0,0,"4,271",0,0,0,0,0,0,0,0,0,"1,093",0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,35,Las Palmas                                        ,"1,090,605","1,515","766,407","28,115","794,522","1,712","479,736",867,"480,603","472,088","465,098","6,990","8,515","240,897",5,"123,486",2,"19,971",0,"13,208",0,0,0,0,0,0,0,0,0,"5,414",0,0,0,"53,329",1,0,0,"2,012",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,288",0,"1,460",0,0,0,0,0,541,0,"1,051",0,0,0,316,0,0,0,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,38,Santa Cruz de Tenerife                            ,"1,027,914","1,246","715,724","77,049","792,773","4,729","464,656",749,"465,405","457,822","452,768","5,054","7,583","205,221",4,"107,600",2,"20,152",0,"11,316",0,0,0,0,0,0,0,0,0,"10,173",0,0,0,"90,552",1,0,0,"2,894",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,384",0,845,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria                     ,39,Cantabria                                         ,"592,250",752,"469,663","26,820","496,483","2,464","353,974","1,315","355,289","351,249","347,092","4,157","4,040","183,244",4,"88,624",1,"12,608",0,"12,614",0,0,0,0,0,0,0,0,0,"2,482",0,0,0,0,0,0,0,"1,232",0,0,0,0,0,0,0,0,0,"44,010",0,0,0,0,0,578,0,354,0,0,0,145,0,275,0,0,0,269,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,2,Albacete                                          ,"401,682",593,"304,167","5,289","309,456",600,"235,089",426,"235,515","232,322","229,240","3,082","3,193","127,995",3,"69,981",1,"14,324",0,"11,614",0,0,0,0,0,0,0,0,0,"2,077",0,0,0,0,0,0,0,921,0,0,0,"1,153",0,0,0,0,0,0,0,0,0,597,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,13,Ciudad Real                                       ,"529,453",800,"400,397","4,367","404,764",472,"302,321",284,"302,605","298,341","294,325","4,016","4,264","164,776",3,"95,375",2,"16,116",0,"13,106",0,0,0,0,0,0,0,0,0,"1,517",0,0,0,0,0,0,0,836,0,0,0,"1,225",0,0,0,0,0,0,0,0,0,381,0,423,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,16,Cuenca                                            ,"217,716",403,"161,168","2,332","163,500",270,"126,791",154,"126,945","125,092","123,355","1,737","1,853","69,939",2,"41,293",1,"5,968",0,"4,468",0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
